id,sample,species_code_sample,rt,mz,pc_id,tic,date_update,error message
1135,DN1399,LA10_1399_2,10.4216,609.1464,LA10_85,4025.1363,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1136,DN1399,LA10_1399_2,14.8584,610.1274,LA10_24,7923.9531,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1137,DN1399,LA10_1399_2,14.8638,611.1330,LA10_24,2564.8169,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1138,DN1399,LA10_1399_2,14.1367,611.1394,LA10_11,5045.1661,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1139,DN1399,LA10_1399_2,11.0491,613.1550,LA10_133,1763.6616,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1140,DN1399,LA10_1399_2,12.1931,619.1418,LA10_9,4399.7038,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1141,DN1399,LA10_1399_2,8.4827,625.1164,LA10_3,4775.5536,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1142,DN1399,LA10_1399_2,15.5387,644.1610,LA10_1,13533.6122,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1143,DN1399,LA10_1399_2,15.5371,645.1634,LA10_1,4314.3275,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1144,DN1399,LA10_1399_2,15.5348,649.1523,LA10_1,11451.8401,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1145,DN1399,LA10_1399_2,15.5371,650.1553,LA10_1,3134.0437,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1146,DN1399,LA10_1399_2,15.5443,665.1169,LA10_1,5033.0304,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1147,DN1399,LA10_1399_2,15.5443,666.1358,LA10_1,2938.0424,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1148,DN1399,LA10_1399_2,5.2534,675.1740,LA10_149,1628.9787,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1149,DN1399,LA10_1399_2,15.5407,680.0836,LA10_1,4345.0206,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1150,DN1399,LA10_1399_2,15.5336,681.0888,LA10_1,2057.3273,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1151,DN1399,LA10_1399_2,10.7105,739.2076,LA10_43,3165.2052,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1152,DN1399,LA10_1399_2,12.9687,740.1962,LA10_17,10169.6504,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1153,DN1399,LA10_1399_2,14.1954,740.1973,LA10_83,4229.5786,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1154,DN1399,LA10_1399_2,10.7105,740.2111,LA10_43,1105.7783,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1155,DN1399,LA10_1399_2,12.9687,740.6978,LA10_17,7801.8928,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1156,DN1399,LA10_1399_2,12.9687,741.1993,LA10_17,3729.8171,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1157,DN1399,LA10_1399_2,11.3166,748.1925,LA10_163,2925.7905,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1158,DN1399,LA10_1399_2,11.5555,748.1928,LA10_166,2777.8711,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1159,DN1399,LA10_1399_2,11.5590,748.6953,LA10_166,2187.8798,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1160,DN1399,LA10_1399_2,11.3167,748.6955,LA10_163,2148.8273,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1161,DN1399,LA10_1399_2,6.0162,751.1790,LA10_127,4592.1906,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1162,DN1399,LA10_1399_2,8.1797,751.1796,LA10_107,2314.0042,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
